text,label
Mình đang tập thói quen viết lách một chút mỗi ngày trước khi ngủ.,0
Mình cảm thấy cô đơn ngay cả khi đang ở giữa bạn bè và người thân.,4
Hôm nay mình đã giúp một bà cụ qua đường.,0
Thật buồn khi phải tự mình đối mặt với những khó khăn trong cuộc sống.,4
Mình mệt mỏi đến mức không còn muốn theo đuổi ước mơ của mình nữa.,5
Mình cứ nghĩ đến những hậu quả tiêu cực có thể xảy ra sau này.,1
Mình cảm thấy vui khi nhận được một lời khen từ người lạ.,0
Mình sẽ xem một bộ phim hài để thư giãn vào tối nay.,0
Mình không thể hiểu nổi tại sao họ lại có thể hành động một cách ích kỷ như vậy.,2
Chuyến đi công tác đột xuất này làm mình thấy hơi lo.,1
Cảm giác bị bỏ lại phía sau trong khi mọi người đều tiến lên thật đau đớn.,4
Mình cần phải sạc pin cho chiếc tai nghe không dây của mình.,0
Mình cứ nghĩ mãi đến những sai lầm mà mình có thể sẽ mắc phải.,1
Mình cảm thấy cô đơn lạc lõng trong chính những suy nghĩ của mình.,4
Không có một ai để mình có thể tin tưởng và chia sẻ mọi chuyện.,4
Hôm nay sếp có vẻ khá vui tính.,0
Mình đang lên kế hoạch cho một chuyến đi chơi xa cùng cả nhà.,0
Mình đang bị mắc kẹt trong những ký ức buồn.,4
Mình cứ so sánh bản thân với người khác và cảm thấy thật kém cỏi.,5
Liệu mình có đủ tiền để có thể trả tiền thuê nhà cho tháng này không?,1
Nỗi trống rỗng này đang dần nuốt chửng lấy con người mình.,6
Mình đã bỏ lỡ cơ hội ngàn vàng để có thể gặp gỡ thần tượng của mình.,3
Mình thật may mắn khi luôn có một mái nhà để trở về.,0
Cứ mỗi lần điện thoại reo lúc nửa đêm là tim mình lại đập loạn xạ.,1
Lỡ như bài thuyết trình của mình không được mọi người đón nhận thì sao?,1
Chất lượng của khóa học online này thực sự rất tệ.,3
Mình cảm thấy như mình đang bị giam giữ bởi chính những ký ức của mình.,4
Mình không biết phải trả lời email này như thế nào cho phải phép.,1
Cảm giác thật tuyệt khi giúp đỡ được người khác.,0
"Mọi quyết định, dù là nhỏ nhất, cũng trở nên quá sức với mình.",5
Cảm giác như mình đang sống trong một cái hộp chật hẹp.,4
Cảm giác như mình đang chờ đợi một điều gì đó mà mình cũng không biết là gì.,1
Mình nhìn bàn tay mình cử động và cảm thấy nó không thực sự thuộc về mình.,5
Mình nhớ những kỷ niệm ngọt ngào thời thơ ấu của mình.,4
Mình cảm thấy hơi hụt hẫng một chút.,3
Cảm giác như mình đang đi trên một con đường đầy rẫy những cạm bẫy.,1
Mình không mong muốn gì hơn vào một khoảnh khắc như thế này.,0
Tâm trạng của mình hôm nay khá tốt.,0
Cảm giác như mình đang lãng phí cuộc đời của mình vào những việc không đâu.,5
"Mình không thể tin tưởng vào bất cứ ai, kể cả chính bản thân mình.",5
"Người ngồi bên cạnh nói chuyện điện thoại to quá, mình không làm việc được.",2
Mình cảm thấy như thể bị người bạn thân nhất phản bội.,3
Mình đã chấp nhận một sự thật rằng cuộc đời mình sẽ không bao giờ có được hạnh phúc.,6
Có lẽ mình đã đưa ra một quyết định sai lầm lớn trong cuộc đời mình.,5
"Một tuần nữa lại trôi qua, thời gian bay nhanh thật đấy.",0
"Mình đang học cách nói ""cảm ơn"" bằng nhiều ngôn ngữ khác nhau.",0
Mình ước có một người bạn có thể hiểu được những gì mình không nói ra lời.,4
"Mình không còn phân biệt được đâu là ngày cuối tuần, đâu là ngày thường.",5
Tại sao lúc nào cậu cũng chen ngang vào lời nói của mình vậy?,2
"Mình đã cố gắng rất nhiều rồi, nhưng dường như vô ích.",6
Nỗi sợ hãi lớn nhất của mình là tình trạng này sẽ kéo dài mãi mãi không kết thúc.,1
Nỗi trống rỗng này đang dần giết chết con người mình từ bên trong.,6
Mình không còn biết mình là ai ngoài những cảm xúc tiêu cực này.,5
Cảm giác lo lắng vô cớ cứ ập đến mà không báo trước.,1
Mình không còn biết cách để cười một cách tự nhiên mà không cần suy nghĩ.,5
Mình không còn chút năng lượng nào dành cho các sở thích cá nhân nữa.,5
Thật đáng thất vọng khi họ không hề coi trọng ý kiến đóng góp của mình.,3
Mình đang có một buổi tối thật sự chất lượng bên gia đình.,0
Cảm giác thật tệ khi nhận ra mình không có ai để chia sẻ niềm vui.,4
Mình đã hoàn toàn từ bỏ việc cố gắng đi tìm kiếm một lối thoát.,6
"Mình cứ ngồi phân tích từng lời nói, từng hành động nhỏ của người khác.",1
"Cái máy tính này lại bị treo nữa rồi, thật là muốn phát điên.",2
Mình thấy bản thân không xứng đáng với bất kỳ điều tốt đẹp nào xảy ra.,5
Mình đang thử thách bản thân không sử dụng mạng xã hội trong một ngày.,0
"Mình không còn tò mò về thế giới, về con người hay về bất cứ điều gì nữa.",6
Mình kiệt sức vì phải liên tục đấu tranh với chính mình.,5
Mình đã ngừng cố gắng giải thích cho gia đình hiểu được mình.,5
Mình cứ lo lắng về cuộc họp sáng mai.,1
"Đối với mình, mọi thứ đã thực sự kết thúc, không còn gì có thể cứu vãn được nữa.",6
Mình không còn chút năng lượng nào để duy trì các mối quan hệ xã hội.,5
Mình không còn gì để mất nữa rồi.,6
Mình đã hoàn toàn từ bỏ việc cố gắng đi tìm kiếm một lối thoát.,6
Nhìn mọi người có bạn bè thân thiết để đi chơi cùng làm mình thấy ghen tị.,4
Mình đang lên kế hoạch để có một lối sống lành mạnh hơn.,0
Mình trân trọng những gì mà cuộc sống đã mang lại cho mình.,0
Mình đã phải xếp hàng ở đây gần 30 phút rồi.,2
Mình sợ phải đối mặt với những thay đổi đột ngột và bất ngờ sắp tới.,1
Giá như có ai đó để trò chuyện lúc này.,4
Cảm giác như mình đang từ từ tan biến vào trong hư không.,6
Mình lo cho tương lai của gia đình mình quá.,1
Mình cảm thấy rất vui khi hoàn thành được một câu đố Sudoku khó.,0
Mình cảm thấy biết ơn vì có một nơi để gọi là nhà.,0
Mình đã bỏ lỡ cơ hội cuối cùng để có thể thể hiện bản thân.,3
Cảm giác như mình đang lãng phí cuộc đời mình vào những việc vô bổ.,5
Cảm giác như có một tảng đá cứ đè nặng trong lồng ngực.,1
Mình đã ngừng cố gắng để gây ấn tượng tốt với bất kỳ ai.,5
Mình cảm thấy dường như không một ai có thể hiểu được nỗi lòng của mình.,4
Mình cảm thấy mình đã làm người khác thất vọng quá nhiều lần rồi.,3
Bỗng dưng nhớ về những ngày tháng sinh viên thật vui vẻ và hồn nhiên.,0
Mình không còn đủ can đảm để thử bất cứ điều gì mới mẻ.,1
Thế giới này có lẽ sẽ tốt đẹp hơn nếu như không có sự tồn tại của mình.,6
Đồ ăn giao đến vừa nguội ngắt vừa không đúng với món mình đã đặt.,2
Mình đang cảm thấy rất yêu đời và tràn đầy sức sống.,0
Mình cảm thấy mình đang là một gánh nặng cho những người mà mình yêu thương.,5
Mình ước gì mình có thể quay trở về quá khứ dù chỉ một lần.,4
Mình chỉ muốn chìm vào một giấc ngủ thật sâu và không bao giờ tỉnh lại.,6
"Có những ngày khá hơn một chút, rồi mọi thứ lại sụp đổ.",6
Thật vui khi được nhận một món quà nhỏ bất ngờ.,0
Mình sẽ dành thời gian để học cách chơi một loại nhạc cụ mới.,0
Mình đã mất hết động lực để tiếp tục theo đuổi dự án này.,5
Mình có cảm giác như mình bị bỏ rơi vậy.,3
Mình sợ phải đối mặt với sự thật phũ phàng.,1
Mình bị giam cầm trong một vòng lặp vô tận của sự đau khổ và tuyệt vọng.,6
Sao họ có thể để rác bừa bãi ra nơi công cộng như vậy được nhỉ?,2
Mình thất vọng vì chính bản thân mình đã không đủ kiên nhẫn để chờ đợi.,3
Tại sao họ không thể giữ im lặng ở một nơi công cộng như thế này?,2
"Ước gì mình có thể trở thành một người khác, dù chỉ một ngày.",6
Không biết mọi người sẽ nghĩ gì về ý tưởng của mình.,1
Mình cảm thấy như mình đang bị trừng phạt vì đã từng có những lúc hạnh phúc.,5
Mỗi khi chuẩn bị đi đâu xa là y như rằng mình lại không ngủ được.,1
Mình đang đếm từng ngày cho đến kỳ nghỉ lễ dài ngày sắp tới.,0
Mình thích mùi của sách mới.,0
Cảm giác thật tuyệt vời khi không có một deadline nào đang dí sát.,0
Mình mệt đến mức không còn muốn giải thích bất cứ điều gì nữa.,5
Mình đã ngừng việc đặt ra các mục tiêu cho bản thân.,6
Mình thực sự cần một khoảng thời gian để có thể tìm lại chính mình.,5
Mình chỉ muốn thời gian có thể ngừng lại một chút để mình kịp thở.,6
Mình cảm thấy biết ơn vì những điều nhỏ nhặt trong cuộc sống.,0
Những lời an ủi đôi khi lại khiến mình cảm thấy khó chịu hơn.,2
Áp lực từ bạn bè đồng trang lứa khiến mình cảm thấy mệt mỏi.,1
"Mình đã từng có rất nhiều ước mơ, giờ thì chúng ở đâu cả rồi?",6
Mình lo rằng mình sẽ không bao giờ có thể thoát khỏi được quá khứ của mình.,1
Mình cần một khoảng thời gian để có thể nghỉ ngơi và tìm lại chính mình.,5
Cảm giác như mình đang bị rỉ sét từ từ từ bên trong.,6
"Cảm giác tê liệt, không vui cũng chẳng buồn.",6
Mọi ý tưởng sáng tạo trong đầu mình dường như đã cạn kiệt.,5
Mình cảm thấy như mình đang từ từ bị chìm trong một vũng cát lún.,6
Mình đang dần đánh mất bản thân.,5
Thật đáng thất vọng khi một người bạn thân lại đi nói xấu sau lưng mình.,3
Tim mình đôi lúc đập rất nhanh mà không vì lý do gì cả.,1
Mình cứ suy nghĩ phân tích lại cuộc nói chuyện lúc nãy.,1
Cứ phải nghe những lời chỉ trích không mang tính xây dựng thật khó chịu.,2
Mình cảm thấy thật cô đơn khi phải sống giữa thành phố xa lạ này.,4
Phải nhớ mang theo ô vì dự báo thời tiết nói trời có thể mưa.,0
Sao cậu ta có thể hứa suông nhiều lần như vậy?,2
Cảm giác như mình đã quên mất cách để cảm nhận mọi thứ.,6
Mình ước có ai đó để cùng mình chia sẻ một bữa ăn tối.,4
"Cái điều khiển TV này lại hết pin nữa rồi, thật bực mình.",2
Lỡ như mình không đạt được chỉ tiêu của tháng này thì phải làm sao.,1
Mình không ngừng nghĩ về những sai lầm mình đã mắc phải trong quá khứ.,1
Mình chỉ muốn có một ngày duy nhất không phải cảm thấy bất cứ điều gì.,6
Mình đã bỏ lỡ buổi biểu diễn mà mình mong chờ từ rất lâu.,3
Thật tốt khi có những người bạn luôn sẵn sàng ở bên cạnh mình.,0
Mình thật sự cần một kỳ nghỉ để nạp lại năng lượng.,5
Cảm giác như mình đang bị mắc kẹt giữa một giấc mơ và thực tại.,6
Mình khá hài lòng với cuộc sống hiện tại của mình.,0
Mình không thể chịu đựng được sự chậm trễ vô lý này thêm nữa.,2
Mình cứ lo là mình sẽ làm không tốt trong bài kiểm tra sắp tới.,1
Mình không còn biết cách để có thể cảm nhận được bất cứ một điều gì nữa.,6
Cảm giác như mình đã đạt đến một trạng thái tĩnh lặng cuối cùng.,6
Mình biết mình đang tự hủy hoại bản thân một cách chậm rãi.,6
Họ đã không giữ lời hứa sẽ cùng mình đi đến cuối con đường này.,3
Mình nhớ vòng tay ấm áp của một người đã từng rất thân quen.,4
Mình luôn lo sợ một ngày nào đó mọi người sẽ phát hiện ra mình thật sự trống rỗng bên trong.,1
Mình cần đi mua một vài chậu cây mới để trang trí cho ban công.,0
Mình đang chuẩn bị quần áo cho chuyến du lịch sắp tới.,0
Mình không còn nhận ra con người trong gương nữa rồi.,5
Cảm giác như mình đang bị mắc kẹt giữa những bức tường vô hình đang hẹp dần.,1
Mình sợ phải đưa ra một lời hứa mà mình không chắc có thể giữ được.,1
Nhìn lại những kỷ niệm cũ đôi khi chỉ làm mình cảm thấy buồn hơn.,4
Thật đáng thất vọng khi một người bạn thân lại đi phản bội mình.,3
Mình sẽ đi đổ rác và kiểm tra hòm thư.,0
Âm nhạc yêu thích giờ đây cũng chỉ còn là tiếng ồn.,2
"Cả tuần làm việc mệt rồi, tối nay mình chỉ muốn thư giãn thôi.",0
Mình ước gì thời gian có thể ngừng trôi.,6
Mình không còn nhớ được cảm giác khi được ai đó yêu thương là như thế nào.,4
"Mình đã mất tất cả rồi, không còn gì để có thể mất thêm nữa.",6
Việc tập thể dục đều đặn giúp mình cảm thấy khỏe khoắn và sảng khoái hơn.,0
Mình đang lên kế hoạch sơn lại bức tường trong phòng ngủ.,0
"Bây giờ, một chuyện nhỏ nhặt cũng có thể khiến mình bật khóc.",4
Mình đang ghi lại những khoảnh khắc đẹp của cuộc sống bằng máy ảnh.,0
Mình chỉ muốn được ở một nơi thật sự yên tĩnh và không bị làm phiền.,4
Cuốn sách này có một nội dung hoàn toàn khác so với những gì được giới thiệu.,3
Mình cố tình né tránh những cuộc gọi từ gia đình.,4
"Mình không còn đủ sức để chống chọi nữa, mình thực sự muốn buông xuôi.",6
Tâm trạng của mình hôm nay rất nhẹ nhàng và thanh thản.,0
Áp lực công việc dạo này thật sự quá sức.,1
Mình đang tìm một bộ phim hài hước để xem tối nay.,0
Một cốc trà ấm vào buổi tối là điều tuyệt vời nhất.,0
Mình cảm thấy như mình đang phải sống trong một thế giới không có màu sắc.,6
Cảm giác bồn chồn trong dạ dày khiến mình không thể ăn uống gì được.,1
Cảm giác như mình đang phải chịu đựng một lời nguyền nào đó.,6
Mình là một diễn viên tồi trong chính vở kịch của đời mình.,5
Mọi âm thanh dường như to hơn và khó chịu hơn bình thường.,2
Mình sẽ nghe tin tức thời sự vào buổi tối.,0
Mình trân trọng từng khoảnh khắc được ở bên cạnh những người thân yêu.,0
Mình thích ngồi bên cửa sổ và ngắm nhìn dòng xe cộ qua lại.,0
Mình đã ngừng việc chúc mừng sinh nhật bạn bè trên mạng xã hội.,4
Cái máy in này lại hết mực đúng vào lúc mình cần nhất.,2
Hôm nay mình đã gặp lại một người bạn cũ rất tình cờ.,0
Cảm giác như mình là một hòn đảo đơn độc giữa đại dương bao la.,4
Cái điều khiển từ xa này lại không hoạt động nữa rồi.,2
Mình cảm thấy tâm hồn thật thanh thản sau khi dọn dẹp xong nhà cửa.,0
Bầu trời chiều nay có màu cam và hồng rất đẹp.,0
Mình không còn biết cách để chăm sóc cho bản thân đúng cách nữa.,5
Mình thích mùi của đất sau cơn mưa.,0
Hôm nay mình đã nhận được lương tháng này rồi.,0
Mình cần mang xe đi bảo dưỡng định kỳ trong tuần này.,0
Mình chỉ muốn có một lý do để tin rằng mình không phải là một người tồi tệ.,5
Mình đang rất háo hức cho chuyến đi sắp tới cùng bạn bè.,0
Mình chỉ thèm được cảm thấy bình thường trở lại.,6
Mình không còn chút năng lượng nào để duy trì một nụ cười giả tạo.,5
Tại sao lúc nào cũng là mình phải đi giải quyết hậu quả cho người khác?,2
Mình cảm thấy như mình đang phải sống trong một địa ngục không có lối thoát.,6
Cứ phải nghe những lời phàn nàn vô lý từ người khác thật mệt mỏi.,2
Đôi khi nỗi buồn ập đến mà không cần một lý do cụ thể nào cả.,4
Họ đã không hề trân trọng những nỗ lực và cố gắng của mình.,3
Mình không còn nhìn thấy bất kỳ màu sắc nào trong cuộc sống này nữa.,6
Dạo này thời tiết bắt đầu se se lạnh vào buổi tối.,0
Mình tò mò không biết bên trong tòa nhà cổ kính đó có gì.,0
Lại phải điền thông tin vào những biểu mẫu rắc rối và phức tạp.,2
Thật buồn khi phải chấp nhận một sự thật rằng mình không phải là người được chọn.,3
Mình cảm thấy như mình đang bị cả thế giới bỏ lại phía sau.,4
Mình chỉ muốn từ bỏ tất cả mọi thứ ngay bây giờ.,5
Mình ước có ai đó để cùng mình ngồi ngắm mưa qua khung cửa sổ.,4
Mình luôn có cảm giác mình đang làm phiền tất cả mọi người.,5
Mình cứ phải kiểm tra đi kiểm tra lại xem đã tắt hết các thiết bị điện chưa.,1
Mình chỉ muốn tắt hết mọi thiết bị và đi ngủ một giấc thật sâu.,5
Mình đang lên kế hoạch cho một buổi dã ngoại nhỏ ở công viên vào ngày mai.,0
Mình rất lo lắng về tình hình tài chính của gia đình trong thời gian tới.,1
"Mình đã hy vọng vào một sự thay đổi, nhưng mọi thứ vẫn chỉ là lời hứa suông.",3
Mình cảm thấy bất an khi nhận được một cuộc gọi từ số lạ.,1
Mình cảm thấy như mình đang làm tất cả mọi người thất vọng.,5
"Họ đã hứa sẽ ủng hộ mình, nhưng cuối cùng lại bỏ mặc mình một mình.",3
Một ngày tốt lành chỉ khiến mình thêm lo sợ ngày mai sẽ tồi tệ hơn gấp bội.,1
Mình sợ rằng mình sẽ không bao giờ có thể tìm thấy được hạnh phúc thật sự.,1
Pin xã hội của mình cạn kiệt chỉ sau năm phút nói chuyện với ai đó.,5
Mình cảm thấy như mình đang bị thời gian bỏ lại phía sau.,4
Căn phòng vừa được dọn dẹp xong trông thật dễ chịu và ngăn nắp.,0
Mình cảm thấy tràn đầy cảm hứng để sáng tạo trong hôm nay.,0
Đây là dấu chấm hết cho một cuộc đời thất bại.,6
"Nếu một người bạn không nhắn tin cho mình vài ngày, mình cho rằng mình đã làm gì sai.",1
Mình cảm thấy lòng mình thật ấm áp khi nhận được sự quan tâm.,0
Cảm giác bị loại ra khỏi một cuộc trò chuyện thật sự rất tồi tệ.,4
Mình đang tìm hiểu thêm về cách quản lý tài chính cá nhân hiệu quả.,0
Mình thật sự rất thèm một cái ôm.,4
Mọi người đều bận rộn với cuộc sống của riêng họ.,4
Lại phải nghe những lời phàn nàn vô lý của anh ta nữa rồi.,2
"Mình đã hy vọng rằng cậu ấy sẽ thay đổi, nhưng cuối cùng vẫn vậy.",3
"Mình cần một sự thay đổi, nhưng lại không biết phải bắt đầu từ đâu.",5
Mình cảm thấy thật bình yên khi ngồi ở đây ngắm hoàng hôn.,0
Mình không biết phải làm sao để thoát ra khỏi cái vòng luẩn quẩn này.,5
Mình cảm thấy sẵn sàng cho những thử thách mới sắp tới.,0
"Mình chỉ muốn mọi thứ kết thúc ngay tại đây, ngay lúc này.",6
"Mình đã hy vọng vào một lời xin lỗi, nhưng họ lại hành động như không có gì xảy ra.",3
Nỗi buồn này cứ âm ỉ mãi trong lòng mình không nguôi.,4
"Mình biết những suy nghĩ này là vô lý, nhưng mình không thể ngăn chúng lại được.",1
Mình cảm thấy nản lòng khi không một ai đánh giá cao nỗ lực của mình.,3
Cuối tuần này mình sẽ về quê thăm gia đình.,0
Mình thích cảm giác tự tay chăm sóc cho khu vườn nhỏ của mình.,0
Mình đang nghĩ về những ước mơ và hoài bão của mình.,0
Mình chỉ muốn mọi người có thể quên mình đi một cách dễ dàng.,4
Sao cậu ta có thể quên một cuộc hẹn quan trọng như vậy được chứ?,2
Bầu trời hôm nay có nhiều mây nhưng thời tiết vẫn khá đẹp.,0
Mình lo rằng mình sẽ không thể chăm sóc tốt cho gia đình của mình.,1
Mình có cảm giác như mình đang sống trong nợ nần với cuộc đời.,5
Có cảm giác như mình đang hét lên trong câm lặng.,4
Nhỡ đâu mọi chuyện không diễn ra suôn sẻ như mình đã tính.,1
Sự tồn tại của mình trên cõi đời này hoàn toàn là vô nghĩa.,6
Mình sẽ dành thời gian để đọc nốt cuốn sách đang đọc dở.,0
Mình đang lên danh sách những bài hát yêu thích để nghe khi rảnh rỗi.,0
Mình sẽ sắp xếp lại bàn làm việc của mình vào đầu tuần tới.,0
Mình mệt đến nỗi không còn đủ sức để ăn một bữa cho đàng hoàng.,5
Mình đang lên kế hoạch để học một kỹ năng mới.,0
Chuyến đi này không hề thú vị và đáng nhớ như mình đã tưởng tượng.,3
Mình thích không khí trong lành của buổi sáng sớm.,0
Mình thực sự không biết phải làm gì với cuộc đời này nữa.,5
Mình thật sự không hiểu tại sao mình lại cảm thấy như thế này.,1
Cảm giác được yêu thương và quan tâm thật ấm áp.,0
Cảm giác thật tuyệt khi được làm điều mình thích.,0
Mình không muốn bất cứ điều gì nữa cả.,6
Mình khá lo lắng về các hóa đơn vào cuối tháng này.,1
Chẳng còn một tia hy vọng nào cho một tương lai tươi sáng và tốt đẹp hơn.,6
Mình đã cố gắng giải thích rất nhiều lần mà họ vẫn không chịu nghe.,2
Mình nên sạc pin cho chiếc điện thoại của mình.,0
Mình cảm thấy như mình đã bỏ lỡ cơ hội để nói lời tạm biệt cuối cùng.,3
Sao mạng wifi ở đây lúc nào cũng chập chờn và yếu thế này?,2
Mình cảm thấy thật may mắn khi được là chính mình.,0
Mình nhớ nụ cười của một người đã từng rất xa lạ nhưng giờ lại rất thân quen.,4
Mình cảm thấy rất hứng khởi với những ý tưởng mới mẻ vừa nảy ra.,0
Việc phải mở miệng và nói thành những câu hoàn chỉnh thật sự rất mệt mỏi.,5
"Cảm giác như mình đang sống một cuộc đời vay mượn, không có gì là của mình.",5
Mình không thể nào thoát ra khỏi quá khứ của chính mình.,6
Mình không muốn bất cứ ai nhìn thấy mình trong bộ dạng này.,4
Mọi thứ đối với mình dường như đã đi đến hồi kết thật rồi.,6
Mình đang tập thói quen đi ngủ sớm và dậy sớm.,0
Cảm giác như mình đã trở thành một phần của bóng tối xung quanh.,4
Mình đang cân nhắc nghiêm túc về việc nhận nuôi một chú mèo con.,0
Mình đã mệt mỏi với những lời bào chữa vô lý của anh ta.,2
Mình đang rất quyết tâm để có thể hoàn thành mục tiêu này.,0
Mình không biết phải bắt đầu từ đâu để thoát ra khỏi tình trạng này nữa.,6
Mình không thể ngừng lo lắng cho một tương lai đầy bất định.,1
Mình chỉ muốn có một ngày không có ai mong đợi bất cứ điều gì từ mình.,4
Lướt mạng xã hội thấy bạn bè đi du lịch khắp nơi mà mình thì ở nhà.,4
Mình sẽ thử trồng một vài loại thảo mộc trong bếp.,0
Tại sao lúc nào cũng là mình phải đi giải quyết những vấn đề này chứ?,2
Mỗi giờ đồng hồ trôi qua là một lời nhắc nhở về sự vô dụng của bản thân.,5
Mình không dám nghĩ đến chuyện bắt đầu một mối quan hệ tình cảm mới.,1
Mình cảm thấy cuộc sống này thật ý nghĩa và đáng sống.,0
Mình sẽ dành cả buổi chiều chủ nhật để nằm dài đọc sách.,0
Đi dạo trong công viên vào buổi sáng thật dễ chịu.,0
Tại sao mình lại không thể làm tốt được như họ cơ chứ?,5
Mình không còn tìm thấy sự an ủi trong những niềm tin cũ.,6
"Mình cảm thấy như mình không đang sống, mà chỉ đang cho qua ngày.",5
Mình vừa đặt mua một vài cuốn sách mới trên mạng.,0
Mình ghét cái cảm giác phải chờ người khác đến trễ hẹn.,2
Mình không thể tìm thấy dù chỉ một lý do nhỏ nhoi nào để tiếp tục.,6
Mình không còn quan tâm đến việc ai đúng ai sai trong một cuộc tranh cãi.,2
"Họ đã thay đổi quá nhiều, không còn là người mà mình từng biết nữa.",3
"Mình nghe người ta nói chuyện, nhưng lời nói của họ không còn chạm đến mình.",4
Hàng xóm lại hát karaoke ầm ĩ đến tận khuya.,2
Mình rất thích nghe nhạc trong lúc lái xe đi làm.,0
Cảm giác như mình đang bị ăn mòn từ từ từ bên trong ra ngoài.,6
"Mình đã mất tất cả rồi, không còn gì để có thể mất thêm nữa.",6
Mình không còn đủ sức lực để có thể chiến đấu với cuộc sống này nữa.,6
Cảm giác thật tuyệt vời khi được người khác tin tưởng.,0
Thế giới này sẽ chẳng mất gì nếu như thiếu đi sự tồn tại của mình.,6
Mình sợ bóng tối và những âm thanh lạ lùng trong đêm.,1
Mình đã mong đợi một lời xin lỗi chân thành hơn từ họ.,3
Nỗi buồn này dường như không có hồi kết.,6
Mình ghét phải làm việc chung với những người thiếu tinh thần trách nhiệm.,2
Mình không còn đủ sức để chiến đấu với những con quỷ trong đầu mình nữa.,6
Mình không còn biết cách để có thể cảm nhận bất cứ điều gì nữa.,6
Mình đang lên kế hoạch để tự cải thiện bản thân mỗi ngày.,0
Cảm giác thật tuyệt khi được ngủ một giấc thật ngon.,0
Căn phòng thì bừa bộn mà mình cũng chẳng buồn dọn dẹp.,5
Cảm giác bị bỏ rơi và lãng quên thật sự rất đau lòng.,4
Mình cảm thấy yêu đời hơn khi nghe một bản nhạc vui tươi.,0
Hôm nay mình đã dành thời gian để sắp xếp lại ảnh cũ.,0
Tất cả mọi thứ xung quanh mình đều là giả dối và vô nghĩa.,6
Mình thích sắp xếp lại đồ đạc trong nhà cho ngăn nắp.,0
Đôi khi mình cảm thấy như mình là gánh nặng cho người khác.,5
Mình bị giam cầm trong một vòng lặp vô tận của nỗi đau.,6
Nỗi trống rỗng này đang chiếm lấy toàn bộ con người và cả tâm hồn của mình.,6
Mình chỉ muốn nằm xuống và để mặt đất nuốt chửng lấy mình.,6
Chẳng còn một tia sáng nào le lói ở cuối con đường này cả.,6
Mình bị giam cầm trong một nỗi đau không bao giờ có hồi kết.,6
Xem lại một bộ phim hoạt hình tuổi thơ thật là hoài niệm.,0
Thật vui khi nhận ra mình đã tiến bộ hơn so với trước đây.,0
Mình cảm thấy rất hồi hộp khi sắp phải gặp mặt gia đình của anh ấy.,1
"Mỗi khi sếp gọi tên mình, tim mình lại bắt đầu đập nhanh hơn.",1
Mình thích cảm giác được khám phá những con đường mới.,0
Mình mệt mỏi đến mức không còn muốn nghĩ đến ngày mai sẽ ra sao.,5
Mình vừa uống xong một cốc nước cam ép rất tươi mát.,0
